Annotator_0_Cat|Annotator_1_Cat|Annotator_2_Cat|0_1_Cat_Agr|0_2_Cat_Agr|1_2_Cat_Agr|2/3-Agreem|3/3-Agreem|Int_Ext_Agr|id|sentence/context - better?
Libertarian|Rawlsian|0|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|229|Apart from its purpose of raising revenues for public expenditure, taxation may be used to regulate citizens' conduct in order to promote various conceptions of public health, welfare, or moral conduct. One criterion for tax policy is how well it does this. 
Procedural|Procedural|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|99|As a result,  compliance may be made easier for taxpayers, or the costs of non-compliance may  be increased through greater surveillance and penalties. 
Utilitarian|Utilitarian|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|583|As a result, this will enable the country to sustain its economic activities and cater for the  salaries of the civil servants. 
Libertarian|Libertarian|Libertarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|559|As expected, respondents were more accepting of changes introduced in a fair manner than in an unfair manner, even if the changes resulted in higher tax burdens. 
Libertarian|Libertarian|Libertarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|638|As for national defense, the argument is that fairness dictates  that those who earn the highest incomes in a free, market-oriented  America pay the most to support its defense. 
Utilitarian|Utilitarian|Utilitarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|615|As soon as one accepts the self-evident proposition that individual welfare  can be improved by government, the necessity of financing government  becomes apparent. 
Rawlsian|Rawlsian|Rawlsian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|531|As such, tax administrators as well as researchers on the subject matter should combine relevant models and incorporate these  factors into developing effective tax systems. 
Utilitarian|Utilitarian|Utilitarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|164|As tax relief leads to an increase in the disposable income of individuals while at the same time reducing the public budget, its nature is comparable to that of social transfers.
Rawlsian|Rawlsian|Utilitarian|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|114|Assume  that,  given  such  an  outcome,  the  distributive  principles  would  demand  the  taxation  of  the  owner/managerâs  profits  (and  perhaps  those  of  the  lender)  in  order  to  make  a  transfer  payment  to  improve  the  position  of  the  disabled  person  (who  otherwise  has  no  income). 
Utilitarian|0|Utilitarian|FALSE|TRUE|FALSE|TRUE|FALSE|TRUE|592|At  intervals, tax systems must be taken to the polity for discussion in accordance with  the best practices of democratic deliberation. 
Deontological|Deontological|Deontological|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|260|"at 419 (stating that, ""a libertarian might limit a state's duty... to attempts to  encourage policies ... that favor individual rights and the protection ofprivate property""). "
Deontological|Deontological|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|180|At the extreme is the Rawlsian maximin function, in which the goal is to maximize the welfare of the least-well-off member of society.
Libertarian|Libertarian|Libertarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|406|Attitudes about democracy and  the place of the tax system in the democracy are also relevant to how strongly one  holds the view that there are disparities in tax contributions in the community. 
Rawlsian|Rawlsian|Rawlsian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|113|Based on this view, the principles of maximizing total utility and levying an equal tax burden on individuals both lead to the same approach: advancing a progressive tax structure.
Utilitarian|Utilitarian|Utilitarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|147|Because  this function is founded on the assumption of an appropriate distribution  of income, everyone should pay the same proportion of income in taxation. 
Deontological|Procedural|0|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|29|Because tax justice helps enable the provision of basic services and the achievement of greater equity, everyone is a stakeholder in tax justice campaign.
Procedural|Procedural|Procedural|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|197|Because we are made, in some sense, responsible for these institutions and are expected to comply with them, we have standing to demand that any inequalities regarding the distribution of advantages by those institutions are justifiable to us. 
Procedural|Procedural|Procedural|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|96|"Bernie Sanders did state on his website, ""At a time of massive wealth and income inequality,  we need a progressive tax system in this country which is based on ability to pay."" "
Procedural|Procedural|Procedural|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|271|Beyond such specific concerns, I believe however, lies the accurate perception that in a more open form of political process, and in a system in which bureaucratic governance can be neither achieved nor afforded at all levels, diplomatic persuasion and endorsement of people's own agendas are the main legitimate tools for relating the government to the people: for setting up the constraints of taxation systems or endorsing their functional equivalents in rural communities, municipalities and boardrooms where people have only intermittently faced them before, or for envisaging some other medium of participation and accountability
Procedural|Procedural|OTHER|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|466|Big-ticket  reforms such as the introduction of semi-autonomous  revenue authorities have lost some of their appeal. 
Libertarian|Libertarian|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|361|"Bittker argues that the aggregate governmentexpenditure benefits are received ""in a ratio that increases progressively with income and wealth."" "
Rawlsian|Rawlsian|Rawlsian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|373|Both  philanthropy and saving can be seen as public goods, which benefit all. 
Rawlsian|Deontological|Rawlsian|FALSE|TRUE|FALSE|TRUE|FALSE|TRUE|368|Both broad-based income taxes and broad-based consumption taxes  would improve the overall efficiency of the economy because the current  code does so much to undermine it. 
Utilitarian|Utilitarian|Rawlsian|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|599|Both hard work and genius have helped produce recommendations  for new and more efficient tax systems. 
Libertarian|Libertarian|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|362|Both phenomena tend to increase  the willingness to evade taxes and to rely on shadow economy activities. 
Utilitarian|Utilitarian|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|577|But a major problem with the income tax is that the bulk of tax-  payers pay too much while others pay too little. 
Libertarian|Libertarian|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|354|But because  most people are committed to a tax system in general, a process of genuine  deliberation will build legitimacy in the long run as the authority demonstrates  integrity and citizens accept their obligations to pay tax. 
Procedural|Procedural|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|89|But once we decide upon income as a base for taxation, it  is necessary to compare the relative capacities of taxpayers. 
Libertarian|Libertarian|Deontological|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|44|"But see NOZICK, supra note 49, at 225-26,   who asserts that people are ""entitled to their natural assets even if it's not the case that  they can be said to deserve them ... .Whether or not people's natural assets are arbitrary  from a moral point of view, they are entitled to them, and to what flows from them."" "
Procedural|Procedural|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|457|But such a tax appears to be a forced expropriation of the fruit of the labour  of those subjected to the tax, and thereby it runs foul of (P3).
Deontological|Deontological|Deontological|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|333|But the base of the tax is wealth accumulation, indisputably a key element in  economic growth. 
Rawlsian|Rawlsian|Rawlsian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|478|By eliminating this exclusion, the Fair Tax Act will enhance the horizontal equity  of the tax system. 
Rawlsian|Rawlsian|Rawlsian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|132|By employing taxation, adherents of this vision will also attempt to secure social cohesion, equality in opportunity for all, including soical and income mobility.
Rawlsian|Rawlsian|Utilitarian|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|479|By moving back and forth between the stages of the constitutional  convention and the legislature, the best constitution is found. 
Procedural|Procedural|OTHER|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|78|"By requiring that similarly situated persons be treated similarly and that persons with more income pay more tax, principles of tax fairness limit the extent to which distributions of 
wealth that have been fixed by private law may be unsettled by public law. "
Deontological|Deontological|Deontological|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|334|By taxing  those above the mean income, welfare is maximized. 
Utilitarian|Libertarian|Utilitarian|FALSE|TRUE|FALSE|TRUE|FALSE|TRUE|598|By taxing away  resources from those at the top and giving these resources to those at  the bottom, inequality is decreased, and the poorest are made better  off. 
Libertarian|Libertarian|Libertarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|259|"By that I meant, although I did not explain, interference with  the basic liberties . . .. To influence by taxation the trade-off  between leisure and income, say, is not an interference with  liberty until it infringes upon the basic liberties .... .11   The basic liberties are political, rather than economic: the right to   vote, freedom of speech, liberty of conscience, freedom from arrest,  and the right to hold property."" "
Procedural|Procedural|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|85|Capital might, in and of itself, be liberal; that is, a greater store  of capital may inure to the benefits of the many, especially the working  classes, and may tend, over time, toward the improvement of all of soci-  ety. 
